"id","aphiaid_worms","name_aphia_worms","environment_aphia_worms"
55008,208961,"Cassis glauca","Marine"
11,100454,"Chaetomium globosum","Marine"
82,100211,"Aspergillus","Marine/Terrestrial/Brackish/Freshwater"
145,393172,"Nostoc","Marine/Terrestrial/Freshwater"
167,178972,"Dunaliella salina","Marine/Freshwater"
218,568257,"Erythrobacter longus","Marine"
236,127188,"Salvelinus alpinus","Marine/Brackish/Freshwater"
272,160564,"Prymnesium parvum","Marine/Brackish/Freshwater"
286,109832,"Gymnodinium splendens","Marine/Brackish"
298,372624,"Osmundea spectabilis","Marine"
305,372743,"Bossiella californica","Marine"
308,145700,"Gracilaria gracilis","Marine"
320,371816,"Cladophora conchopheria","Marine"
421,109796,"Gymnodinium galatheanum","Marine"
427,1485215,"Haliotis (Sulculus) diversicolor aquatilis","Marine"
453,393201,"Acaryochloris","Marine"
467,106310,"Hemiselmis virescens","Marine/Brackish"
487,372559,"Cryptopleura farlowiana","Marine"
489,295874,"Acrosorium ciliolatum","Marine"
504,164842,"Agelas schmidtii","Marine"
513,371724,"Chondracanthus harveyanus","Marine"
533,154298,"Carassius auratus","Brackish/Freshwater"
566,570642,"Pseudomonas","Marine/Terrestrial/Brackish/Freshwater"
626,220796,"Padina tetrastromatica","Marine"
628,496115,"Sargassum crassifolium","Marine"
640,107442,"Xantho poressa","Marine"
688,276739,"Branchiostegus japonicus","Marine"
752,393075,"Erythrobacter","Marine"
833,238967,"Porphyridium cruentum","Marine"
57979,762405,"Frankia","Marine"
2261,660754,"Lyngbya majuscula","Marine/Brackish/Freshwater"
2411,100211,"Aspergillus","Marine/Terrestrial/Brackish/Freshwater"
2511,166654,"Amphimedon","Marine"
2874,559610,"Brevibacterium","Marine"
2879,178078,"Streptomyces","Marine/Brackish"
2913,191422,"Halichondria cylindrata","Marine"
4359,178078,"Streptomyces","Marine/Brackish"
4484,1726926,"Aspergillus aculeatus","Marine"
4682,375699,"Aureococcus anophagefferens","Marine"
4694,209992,"Sinularia dura","Marine"
4850,571845,"Micromonospora marina","Marine"
4864,203986,"Eleutherobia","Marine"
63082,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
6046,559597,"Micromonospora","Marine/Terrestrial/Brackish/Freshwater"
6228,559792,"Actinomadura","Marine"
6376,178078,"Streptomyces","Marine/Brackish"
6405,100492,"Aspergillus fumigatus","Marine/Terrestrial/Brackish/Freshwater"
6711,105624,"Stephanoeca elegans","Marine"
6919,100496,"Aspergillus terreus","Marine/Terrestrial/Brackish/Freshwater"
7008,100788,"Sideractis","Marine"
8501,497193,"Gloioderma australe","Marine"
8539,165782,"Epipolasis","Marine"
8796,325442,"Staurocucumis liouvillei","Marine"
8877,169317,"Phorbas clathratus","Marine"
8901,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
8910,178078,"Streptomyces","Marine/Brackish"
10262,344740,"Acanthus ilicifolius","Marine/Terrestrial/Brackish/Freshwater"
10522,211768,"Acanthophora spicifera","Marine"
10869,234373,"Phyllospongia foliascens","Marine"
10975,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
11042,178078,"Streptomyces","Marine/Brackish"
12436,562615,"Flavobacterium","Marine"
12640,100489,"Alternaria tenuis","Marine"
12657,290895,"Pseudopterogorgia elisabethae","Marine"
63096,437586,"Xylaria","Marine/Terrestrial"
12701,144741,"Cottoniella filamentosa","Marine"
12742,178078,"Streptomyces","Marine/Brackish"
13034,1728316,"Streptomyces fradiae","Marine/Terrestrial"
14151,214315,"Stypopodium flabelliforme","Marine"
14588,165354,"Hyrtios reticulatus","Marine"
14589,233592,"Lingulodinium polyedra","Marine"
14866,1759390,"Hernandia nymphaeifolia","Marine/Terrestrial"
15017,210762,"Bohadschia marmorata","Marine"
16592,425785,"Cochlearia officinalis","Terrestrial/Brackish"
16601,1726901,"Nocardiopsis dassonvillei","Marine"
16710,257334,"Cleantis chilensis","Marine"
16728,178078,"Streptomyces","Marine/Brackish"
16844,374028,"Durvillaea potatorum","Marine"
16846,373322,"Hormosira banksii","Marine"
16931,100492,"Aspergillus fumigatus","Marine/Terrestrial/Brackish/Freshwater"
16961,559597,"Micromonospora","Marine/Terrestrial/Brackish/Freshwater"
17059,167331,"Tsitsikamma pedunculata","Marine"
18851,559792,"Actinomadura","Marine"
18861,100206,"Acremonium","Marine/Terrestrial"
18936,212088,"Alcyonium valdiviae","Marine"
18956,178078,"Streptomyces","Marine/Brackish"
20316,496112,"Hizikia fusiformis","Marine"
20654,178078,"Streptomyces","Marine/Brackish"
20733,178078,"Streptomyces","Marine/Brackish"
20805,819778,"Primovula narinosa","Marine"
20825,207185,"Montipora digitata","Marine"
21079,559903,"Flexibacter","Marine"
21115,215961,"Pseudodistoma arborescens","Marine"
22159,249894,"Aplidium multiplicatum","Marine"
22224,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
22680,1728316,"Streptomyces fradiae","Marine/Terrestrial"
22684,171215,"Discodermia dissoluta","Marine"
22712,169714,"Corticium simplex","Marine"
22843,178078,"Streptomyces","Marine/Brackish"
22866,826545,"Aspergillus flavus","Marine/Terrestrial/Brackish/Freshwater"
23065,494982,"Sargassum parvivesiculosum","Marine"
24288,1726930,"Aspergillus chevalieri","Marine"
24499,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
24564,178078,"Streptomyces","Marine/Brackish"
24671,826545,"Aspergillus flavus","Marine/Terrestrial/Brackish/Freshwater"
24676,178078,"Streptomyces","Marine/Brackish"
24856,559597,"Micromonospora","Marine/Terrestrial/Brackish/Freshwater"
24877,1460761,"Agelas mauritianus","Marine"
24887,437603,"Amorosia littoralis","Marine"
25004,276651,"Seriola quinqueradiata","Marine"
24722,146549,"Oscillatoria","Marine/Terrestrial/Brackish/Freshwater"
26585,1728041,"Penicillium sumatrense","Marine"
26653,559792,"Actinomadura","Marine"
26772,1754899,"Streptomyces sanyensis","Marine/Terrestrial/Brackish"
26895,1728350,"Streptomyces olivaceus","Marine"
26903,133904,"Tedania anhelans","Marine"
26979,375431,"Chondria acrorhizophora","Marine"
26996,146960,"Gracilariopsis longissima","Marine"
27019,266573,"Balanoglossus gigas","Marine"
27023,109714,"Alexandrium tamarense","Marine"
27026,178210,"Oreaster reticulatus","Marine"
27044,494870,"Sargassum serratifolium","Marine"
27080,570338,"Pseudoalteromonas maricaloris","Marine"
27089,367982,"Antillogorgia acerosa","Marine"
27090,708860,"Antillogorgia bipinnata","Marine"
27119,254955,"Anthenea sibogae","Marine"
27154,168440,"Coelocarteria singaporensis","Marine"
27158,178378,"Siphonodictyon coralliphagum","Marine"
27172,131825,"Callyspongia","Marine"
28208,287628,"Ctenocella pectinata","Marine"
